ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
964147,964147,0,0
964148,964148,0,0
964149,964149,0,0
964160,964160,0,0
964161,964161,0,0
964162,964162,0,0
964163,964163,0,0
964164,964164,0,0
964165,964165,0,0
964166,964166,0,0
964167,964167,0,0
964168,964168,0,0
964169,964169,0,0
964193,964193,0,0
964204,964204,0,0
964258,964258,0,0
964259,964259,0,0
964260,964260,0,0
964279,964279,0,0
964280,964280,0,0
964281,964281,0,0
964282,964282,0,0
964283,964283,0,0
964284,964284,0,0
964287,964287,0,0
964297,964297,0,0
964298,964298,0,0
964299,964299,0,0
964305,964305,0,0
964306,964306,0,0
964307,964307,0,0
964308,964308,0,0
964309,964309,0,0
964310,964310,0,0
964339,964339,0,0
964407,964407,0,0
965748,965748,0,0
966282,966282,0,0
966376,966376,0,0
966468,966468,0,0
966913,966913,0,0
966956,966956,0,0
966991,966991,0,0
967496,967496,0,0
967562,967562,0,0
967823,967823,0,0
967861,967861,0,0
968426,968426,0,0
969004,969004,0,0
969276,969276,0,0
969444,969444,0,0
970011,970011,0,0
970250,970250,0,0
970277,970277,0,0
974140,974140,0,0
974166,974166,0,0
975125,35804350,1,1
975125,975125,0,0
975125,35804381,1,1
975125,35804380,1,1
975125,35804369,1,1
975125,35804587,1,1
975125,35804166,1,1
975125,35804007,1,1
975125,35804400,1,1
975125,35806851,1,1
975125,35805468,1,1
975125,35805028,1,1
975125,35803587,1,1
975125,35803585,1,1
975125,35804375,1,1
975125,35806852,1,1
975125,35804070,1,1
975125,35804372,1,1
975125,35804385,1,1
975125,35804374,1,1
975125,35803595,1,1
975125,35804370,1,1
975125,35804371,1,1
975125,35806853,1,1
975125,35804377,1,1
975125,35804373,1,1
975125,42542368,1,1
976309,976309,0,0
976545,976545,0,0
976778,976778,0,0
977421,977421,0,0
977949,977949,0,0
977968,977968,0,0
978236,978236,0,0
978555,978555,0,0
978577,978577,0,0
979035,979035,0,0
979096,979096,0,0
980311,980311,0,0
980478,980478,0,0
980867,980867,0,0
980955,980955,0,0
981654,981654,0,0
981691,981691,0,0
981709,981709,0,0
981774,981774,0,0
984232,984232,0,0
984232,35101312,1,1
984232,35806376,1,1
984232,35804823,1,1
984232,35806907,1,1
984232,35806375,1,1
984801,984801,0,0
985247,985247,0,0
985708,985708,0,0
985708,35806852,1,1
985708,35805756,1,1
985708,35806853,1,1
986117,986117,0,0
986171,986171,0,0
986261,986261,0,0
986417,986417,0,0
986515,986515,0,0
986517,986517,0,0
986790,986790,0,0
986864,986864,0,0
987009,987009,0,0
987128,987128,0,0
987153,987153,0,0
987245,35805755,1,1
987245,987245,0,0
987245,35804378,1,1
987366,987366,0,0
987406,987406,0,0
988095,988095,0,0
988294,988294,0,0
988447,988447,0,0
989301,989301,0,0
989482,35806853,1,1
989482,989482,0,0
989567,989567,0,0
989727,989727,0,0
989878,989878,0,0
989957,989957,0,0
990009,990009,0,0
990028,990028,0,0
990069,990069,0,0
990337,990337,0,0
990340,990340,0,0
990413,990413,0,0
990499,990499,0,0
990678,990678,0,0
990760,990760,0,0
991003,991003,0,0
991382,991382,0,0
991706,991706,0,0
991710,991710,0,0
991825,991825,0,0
991855,991855,0,0
991876,35804761,1,1
991876,35803676,1,1
991876,35804306,1,1
991876,35804767,1,1
991876,35803693,1,1
991876,991876,0,0
991876,35803585,1,1
991876,35804545,1,1
991876,35804200,1,1
991876,35805366,1,1
991876,35803692,1,1
991876,35806400,1,1
991876,35102009,1,1
991876,35805369,1,1
991876,35805455,1,1
991876,35806943,1,1
992127,992127,0,0
992153,992153,0,0
992308,992308,0,0
992409,992409,0,0
